StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q7,Q8,RandomID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your age in years?,What is your gender? - Selected Choice,What is your gender? - Other (please describe) - Text,Choose one or more races that you consider yourself to be: - Selected Choice,Choose one or more races that you consider yourself to be: - Other - Text,What is the highest level of school you have completed or the highest degree you have received?,Information about income is important for this survey.  Would you please give your best guess? Please indicate the answer that includes your entire annual household income in 2018 before taxes.,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""RandomID""}"
2020-12-04 13:50:34,2020-12-04 13:50:43,IP Address,100,9,True,2020-12-04 13:50:43,R_3iQecOZwuVG816A,anonymous,EN,34,Female,,White,,Some college but no degree,"$15,000 to $24,999",737718
2020-12-04 13:50:59,2020-12-04 13:51:14,IP Address,100,14,True,2020-12-04 13:51:14,R_2uE9JJsRKqXmsfe,anonymous,EN,38,Male,,White,,Some college but no degree,"$25,000 to $49,999",839204
2020-12-04 13:54:51,2020-12-04 13:55:25,IP Address,100,34,True,2020-12-04 13:55:25,R_27x7Q6bAC7i2yI9,anonymous,EN,30,Male,,Black or African American,,Bachelor's degree in college (4-year),"$25,000 to $49,999",455112
2020-12-04 13:56:07,2020-12-04 13:56:31,IP Address,100,24,True,2020-12-04 13:56:32,R_2WAWuouyTxVGDx3,anonymous,EN,33,Female,,White,,Some college but no degree,"$25,000 to $49,999",905175
2020-12-04 13:56:22,2020-12-04 13:56:34,IP Address,100,12,True,2020-12-04 13:56:35,R_3Jg9TJ8hYWDr8cO,anonymous,EN,36,Male,,White,,Bachelor's degree in college (4-year),"$80,000 to $124,999",923517
2020-12-04 13:56:33,2020-12-04 13:57:02,IP Address,100,28,True,2020-12-04 13:57:02,R_3KIXnm8YrSMe9WV,anonymous,EN,44,Male,,Asian,,Doctoral degree,"$180,000 or more",855400
2020-12-04 13:57:21,2020-12-04 13:58:06,IP Address,100,44,True,2020-12-04 13:58:06,R_01Zxf49nVb34Qdb,anonymous,EN,42,Female,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",350713
2020-12-04 13:58:03,2020-12-04 13:58:21,IP Address,100,17,True,2020-12-04 13:58:21,R_3fDHRMlVWYZPi8y,anonymous,EN,32,Male,,White,,Some college but no degree,"$15,000 to $24,999",399403
