Timestep,Probs
1,"[0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015]"
2,"[0.25063291112982494, 0.25063291112982494, 0.2481012665956177, 0.2506329101075409, 1.037190472963692e-9]"
3,"[0.00032040281157662, 0.022454258282824838, 0.0003171664195441497, 0.9769081724860554, 1.3569563841188065e-18]"
4,"[4.849944461728973e-17, 8.236970343458531e-7, 3.3265769062999065e-13, 0.9999991763026342, 9.214894477284997e-16]"
5,"[3.454260075921382e-28, 7.645541409522074e-13, 1.2469878874076495e-25, 0.9999999999992379, 9.568587467926304e-31]"
6,"[6.707681970259938e-15, 8.741518220462727e-10, 9.779387622481483e-19, 0.999999999125847, 5.147046117095619e-20]"
7,"[1.8580971341474322e-17, 2.4214907661923594e-12, 1.0940561351359265e-27, 0.9999999999975767, 5.758190184926124e-29]"
8,"[1.2744688256630766e-13, 6.7077306613845555e-15, 4.4184668557110305e-34, 0.9999999999998562, 6.441852829437753e-38]"
9,"[1.8580971361181275e-17, 1.4257848973826856e-22, 9.391825090303057e-42, 1.0000000000000069, 1.3692703149590144e-45]"
10,"[4.607798773834123e-25, 6.717887117413717e-29, 6.4516067087016746e-52, 0.999999999999994, 1.7871486727706682e-54]"
11,"[1.8609061254540848e-31, 1.8609061254540848e-31, 3.798726641154364e-62, 0.99999999999999, 3.79872664115458e-62]"
12,"[5.654655301094367e-34, 2.976134368997094e-35, 1.1543027047412734e-64, 0.9999999999999939, 6.075277393375243e-66]"
13,"[0.0, 0.0, 0.0, 0.9980000000000007, 0.0019999999999999827]"
14,"[0.0, 0.0, 0.0, 0.003814401467665586, 0.9961855985323341]"
15,"[0.0, 0.0, 0.0, 2.921719537129574e-7, 0.9999997078280415]"
16,"[0.0, 0.0, 0.0, 1.537747550445034e-8, 0.999999984622531]"
17,"[0.0, 0.0, 0.0, 2.2419413530956265e-12, 0.999999999997772]"
18,"[0.0, 0.0, 0.0, 3.2686125573708034e-16, 1.000000000000002]"
19,"[0.0, 0.0, 0.0, 6.2103638590042275e-15, 1.000000000000002]"
