goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,0.5,0.5,0.5,3.91,1.91,1607115035927
0,0,0,0.5,0.5,0.5,5.39,2.62,1607115070015
0,0.06,0.31,0.31,0.31,0.31,3.75,2.81,1607115177638
0,0,0,1,0,0,4.01,0.93,1607115376410
0.07,0.07,0.07,0.07,0.71,0.71,9.95,3.89,1607115664898
0.1,0.1,0.14,0.31,0.34,0.34,6.4,2.47,1607116125693
0.16,0.22,0.25,0.19,0.19,0.19,4.71,1.7,1607116510666
0.19,0.19,0.21,0.19,0.21,0.21,16.06,2.13,1607117172687
0.2,0.2,0.12,0.24,0.24,0.24,9.0,1.93,1607117907163
0.47,0.07,0,0,0.47,0.47,19.76,2.85,1607118786567
0,0,0,0,1,1,6.13,2.74,1607120613621
0,0,0,0,1,1,3.87,2.83,1607123074097
