goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,1,0,1,5.5,5.2,1607114805281
0,0,0,1,0,1,3.79,6.61,1607115041322
0,0,0,1,0,1,4.13,5.2,1607115047337
0.19,0.12,0.22,0.31,0.16,0.31,5.02,2.08,1607115116358
0.2,0.2,0.15,0.25,0.2,0.25,1.53,2.28,1607115323722
0.07,0.07,0.07,0.71,0.07,0.71,5.09,3.4,1607115408614
0.14,0.1,0.1,0.48,0.19,0.48,20.19,2.33,1607115480159
0,0,0,1,0,1,4.37,5.12,1607115756133
0,0,0,1,0,1,5.48,5.53,1607115854486
0,0,0,1,0,1,4.39,5.6,1607116319376
0,0,0,1,0,1,4.66,3.8,1607116360089
0,0,0,1,0,1,7.42,3.77,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,1.16,2.0,1607116912260
0.2,0.2,0.2,0.2,0.2,0.2,8.47,2.0,1607117474340
0,0,0,1,0,1,3.65,4.4,1607118085484
0,0,0,1,0,1,4.14,4.97,1607118666465
0.21,0.19,0.21,0.19,0.21,0.19,2.09,1.86,1607121165107
0.22,0.19,0.19,0.19,0.19,0.19,11.62,2.09,1607125963924
0,0,0,1,0,1,6.84,3.87,1607129901627
