goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.1512,0.1363,0.16,0.22,0.3312,0.3312,118.0787,1
0.1487,0.1187,0.2837,0.2112,0.2412,0.2412,17.1325,2
0.1713,0.1675,0.295,0.1838,0.1838,0.1838,13.1625,3
0.2675,0.0963,0.1562,0.2975,0.185,0.185,18.4413,4
0.265,0.125,0.2675,0.1613,0.1825,0.1825,12.5437,5
0.2437,0.0825,0.3375,0.1675,0.17,0.17,11.06,6
0.1175,0.0838,0.5188,0.1363,0.1425,0.1425,9.6512,7
0.05,0.0713,0.2188,0.435,0.2238,0.2238,43.6912,8
0.05,0.0575,0.0625,0.4788,0.35,0.35,8.7,9
0.08,0.0375,0.065,0.2737,0.5413,0.5413,7.2225,10
