goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,3.93,0.4,1607114805281
0.24,0.05,0.05,0.43,0.24,0.43,23.68,0.63,1607115041322
0.31,0.16,0.16,0.16,0.22,0.16,4.83,0.32,1607115408614
0.2,0.2,0.2,0.2,0.2,0.2,5.29,0.4,1607115756133
0.12,0.24,0.24,0.24,0.18,0.24,11.82,0.37,1607115854486
0.16,0.23,0.23,0.23,0.16,0.23,13.17,0.45,1607116319376
0.2,0.2,0.2,0.2,0.2,0.2,15.91,0.4,1607116360089
0.2,0.2,0.2,0.2,0.2,0.2,5.84,0.4,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,3.69,0.4,1607118085484
0.09,0.23,0.23,0.23,0.23,0.23,27.32,0.43,1607118666465
0.2,0.2,0.2,0.2,0.2,0.2,6.0,0.4,1607129901627
