"counter__count","results__|","results__|__goal_probs_0","results__|__goal_probs_1","results__|__goal_probs_2","results__|__goal_probs_3","results__|__goal_probs_4","results__|__reward_score","results__|__time_spent","results__|__timestep","results__|__true_goal_probs","results__a"
"85","1607114805281_problem_1_1","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2","1"
"","","0.25","0.25","0","0.25","0.25","0.45","0","2","0.25",""
"","","0","0","0","0.5","0.5","0.45","0","3","0",""
"","","0.25","0.25","0","0.25","0.25","0.7","0","4","0.25",""
"","","0.5","0.5","0","0","0","1.2","0","5","0.5",""
"","","0.5555555555555556","0.4444444444444444","0","0","0","1.7555555555555555","0","6","0.5555555555555556",""
"","","1","0","0","0","0","2.7555555555555555","0","7","1",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","5.918","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","11.588","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","8.707","3","0.2",""
"","","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0.6000000000000001","9.208","4","0",""
"","","0.5","0.5","0","0","0","1.1","22.21","5","0.5",""
"","","0","1","0","0","0","1.1","8.018","6","0",""
"","","1","0","0","0","0","2.1","11.329","7","1",""
"","1607114805281_problem_2_1","0.2","0.2","0.2","0.2","0.2","0.2","7.455","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","6.175","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","4.342","3","0.2",""
"","","0.5","0.5","0","0","0","1.1","15.947","4","0.5",""
"","","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","1.1","24.381","5","0",""
"","","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","1.1","17.972","6","0",""
"","","0.5","0","0","0","0.5","1.1","16.899","7","0",""
"","","0.2","0.2","0.2","0.2","0.2","1.3","18.703","8","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.5","4.821","9","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.7","4.443","10","0.2",""
"","","0.5","0.5","0","0","0","2.2","14.651","11","0.5",""
"","","0.5","0.5","0","0","0","2.7","6.852","12","0.5",""
"","","0.5","0.5","0","0","0","3.2","5.8","13","0.5",""
"","1607114805281_problem_3_4","0.2","0.2","0.2","0.2","0.2","0.2","8.397","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","3.932","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","3.72","3","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.8","4.803","4","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1","3.947","5","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.2","5.079","6","0.2",""
"","","0","0","0","1","0","2.2","15.469","7","1",""
"","","0","0","0","1","0","3.2","4.337","8","1",""
"","","0","0","0","1","0","4.2","4.073","9","1",""
"","","0","0","0","1","0","5.2","5.499","10","1",""
"","1607114805281_tutorial","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.25","0.25","0","0.25","0.25","0.45","0","2","0.25",""
"","","0","0","0","0.5","0.5","0.45","0","3","0",""
"","","0.25","0.25","0","0.25","0.25","0.7","0","4","0.25",""
"","","0.5","0.5","0","0","0","1.2","0","5","0.5",""
"","","0.5555555555555556","0.4444444444444444","0","0","0","1.7555555555555555","0","6","0.5555555555555556",""
"","","1","0","0","0","0","2.7555555555555555","0","7","1",""
"","1607115018235_problem_0_1","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","0","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","0","3","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.8","0","4","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1","0","5","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.2","0","6","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.4","0","7","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","0.369","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","0.283","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","0.027","3","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.8","0.032","4","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1","0.048","5","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.2","0.011","6","0.2",""
"","1607115018235_problem_1_3","0.2","0.2","0.2","0.2","0.2","0.2","0.844","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","0.034","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","0.031","3","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.8","0.03","4","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1","0.053","5","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.2","0.008","6","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.4","0.032","7","0.2",""
"","1607115018235_problem_4_3","0.2","0.2","0.2","0.2","0.2","0.2","0.378","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","0.032","2","0.2",""
