Timestep,Probs
1,"[0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015]"
2,"[0.2621951221973586, 0.26829268318195715, 0.2957317062102904, 0.164634146960781, 0.00914634144961178]"
3,"[0.4787278951627854, 0.00017672203525251296, 0.5209842293947052, 0.00010499622143228018, 6.1571858247392255e-6]"
4,"[0.9999999660119483, 0.0, 3.398804174243152e-8, 7.766845414744867e-15, 7.766845414744867e-15]"
5,"[0.9999999978874532, 0.0, 1.980173695948825e-9, 3.65683046343267e-13, 1.3201157972992168e-10]"
6,"[1.0000000000000016, 0.0, 6.5004471391361765e-21, 4.333631426090723e-22, 4.333631426090784e-22]"
7,"[0.9999999993146361, 0.0, 6.85351654170206e-10, 7.283864597733854e-18, 2.629475119781892e-15]"
8,"[0.9999993822298525, 0.0, 6.17770158610649e-7, 5.038031988519242e-20, 1.8187295478553877e-17]"
9,"[0.9999999999999833, 0.0, 1.9367231064282436e-14, 3.3572209386884925e-35, 1.5794341677223739e-27]"
10,"[1.0000000000000067, 0.0, 6.175964414713656e-26, 2.965582239941851e-49, 9.56956905581051e-38]"
11,"[1.0000000000000075, 0.0, 3.122995090432923e-37, 2.186329857881032e-64, 6.306280747322095e-44]"
12,"[0.9999990082119717, 0.0, 4.216258572187391e-14, 5.839693313279e-17, 9.917879952618185e-7]"
13,"[0.9999973079925706, 0.0, 4.621858437036558e-20, 2.585302921763348e-29, 2.692007429606742e-6]"
14,"[2.5992867986852994e-8, 0.0, 9.036219522064632e-16, 2.377952505806597e-17, 0.9999999740071311]"
15,"[0.0, 0.0, 0.0, 0.0, 1.0000000000000007]"
