goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,1,0,0,1,3.8,3,1607115035927
0.15,0.26,0.29,0.15,0.15,0.29,7.32,1.11,1607115070015
0.06,0,0.62,0.25,0.06,0.62,4.08,2.54,1607115177638
0,0,1,0,0,1,6.71,2.25,1607115376410
0.09,0.09,0.64,0.09,0.09,0.64,16.36,1.17,1607115664898
0.11,0.18,0.36,0.18,0.18,0.36,5.42,1.27,1607116125693
0.21,0.21,0.18,0.21,0.18,0.18,10.85,0.95,1607116510666
0.2,0.2,0.2,0.22,0.2,0.2,4.68,0.98,1607117172687
0.18,0.18,0.29,0.18,0.18,0.29,7.47,1.09,1607117907163
0,0,0.5,0,0.5,0.5,47.45,1.03,1607118786567
0,0,0.56,0.06,0.39,0.56,20.05,1.58,1607120613621
0,0,1,0,0,1,4.98,3.39,1607123074097
