goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.21,0.2017,0.17,0.155,0.2617,0.2017,13.035,1
0.205,0.2,0.1433,0.25,0.1983,0.2,17.0367,2
0.1533,0.1783,0.0917,0.2117,0.3683,0.1783,16.53,3
0.3167,0.17,0.1183,0.2083,0.185,0.17,17.2783,4
0.1067,0.185,0.1233,0.3983,0.185,0.185,10.5883,5
0.28,0.0817,0.04,0.3717,0.2283,0.0817,10.095,6
0.3233,0.0583,0.1467,0.1467,0.3233,0.0583,16.495,7
0.0417,0.9,0.0,0.0083,0.05,0.9,13.8117,8
0.0,1.0,0.0,0.0,0.0,1.0,5.1833,9
0.0,1.0,0.0,0.0,0.0,1.0,4.0783,10
