goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,1,0,1,5.5,5.2,1607114805281
0,0,0,1,0,1,3.79,6.61,1607115041322
0.07,0.07,0.07,0.71,0.07,0.71,5.09,3.4,1607115408614
0,0,0,1,0,1,4.37,5.12,1607115756133
0,0,0,1,0,1,5.48,5.53,1607115854486
0,0,0,1,0,1,4.39,5.6,1607116319376
0,0,0,1,0,1,4.66,3.8,1607116360089
0,0,0,1,0,1,7.42,3.77,1607116556585
0,0,0,1,0,1,3.65,4.4,1607118085484
0,0,0,1,0,1,4.14,4.97,1607118666465
0,0,0,1,0,1,6.84,3.87,1607129901627
